id,word,brief,files,size
word-23,ВОДА,"Прозрачная вода: струя и небольшая лужица; второй вариант — вода, льющаяся из наклонённой прозрачной ёмкости. В контексте — ребёнок наливает воду. Главный объект — вода, не стакан.",word-23-main.png; word-23-alternate.png; word-23-context.png,1024x1024
word-24,СОМ,"Сом целиком, заметные усы; другой ракурс. В контексте — сом в реке.",word-24-main.png; word-24-alternate.png; word-24-context.png,1024x1024
word-25,ШАР,Воздушный шар с ниточкой; другой цвет и ракурс. В контексте — шар у ребёнка. Не мяч.,word-25-main.png; word-25-alternate.png; word-25-context.png,1024x1024
word-26,ДУБ,"Дуб целиком, характерные листья и жёлуди; второй дуб. В контексте — дуб на поляне.",word-26-main.png; word-26-alternate.png; word-26-context.png,1024x1024
word-27,СУП,Тарелка супа с видимым бульоном и овощами; другой суп. В контексте — суп на обеденном столе.,word-27-main.png; word-27-alternate.png; word-27-context.png,1024x1024
word-28,МЯЧ,Игровой мяч целиком; другой рисунок мяча. В контексте — ребёнок играет с мячом.,word-28-main.png; word-28-alternate.png; word-28-context.png,1024x1024
word-29,СНЕГ,Белый пушистый снег и сугроб; заснеженная ветка. В контексте — снежный двор.,word-29-main.png; word-29-alternate.png; word-29-context.png,1024x1024
word-30,ЛЕС,"Несколько деревьев, явно образующих лес; другой лес. В контексте — лесная тропинка.",word-30-main.png; word-30-alternate.png; word-30-context.png,1024x1024
word-31,ЛИСТ,Один зелёный лист с черешком; другой лист. В контексте — тот же лист на ветке. Не лист бумаги.,word-31-main.png; word-31-alternate.png; word-31-context.png,1024x1024
word-32,МОСТ,Мост целиком с опорами; другой простой мост. В контексте — мост через реку.,word-32-main.png; word-32-alternate.png; word-32-context.png,1024x1024
word-33,ЗОНТ,Раскрытый зонт; второй зонт другого цвета. В контексте — человек с зонтом под дождём.,word-33-main.png; word-33-alternate.png; word-33-context.png,1024x1024
word-34,ХЛЕБ,Буханка хлеба с ломтиком; другой хлеб. В контексте — хлеб на кухонном столе.,word-34-main.png; word-34-alternate.png; word-34-context.png,1024x1024
word-35,МОРЕ,Морская вода до горизонта с волнами; другой морской вид. В контексте — морской берег.,word-35-main.png; word-35-alternate.png; word-35-context.png,1024x1024
word-36,ГОРА,Одна хорошо различимая гора; другая гора. В контексте — гора над долиной.,word-36-main.png; word-36-alternate.png; word-36-context.png,1024x1024
word-37,НОГА,"Нога человека от бедра до стопы, без пугающих отсечений; другой понятный ракурс. В контексте — человек шагает, нога хорошо видна.",word-37-main.png; word-37-alternate.png; word-37-context.png,1024x1024
word-38,РОЗА,Одна роза со стеблем и листьями; другой цвет розы. В контексте — роза на кусте.,word-38-main.png; word-38-alternate.png; word-38-context.png,1024x1024
word-39,ВАЗА,Пустая ваза целиком; другая форма вазы. В контексте — ваза с цветами на столе.,word-39-main.png; word-39-alternate.png; word-39-context.png,1024x1024
word-40,КАША,"Миска густой каши, видна её текстура; другой вид каши. В контексте — завтрак с кашей. Не суп.",word-40-main.png; word-40-alternate.png; word-40-context.png,1024x1024
word-41,ЧАШКА,Чашка с ручкой целиком; другая чашка. В контексте — чашка на столе.,word-41-main.png; word-41-alternate.png; word-41-context.png,1024x1024
word-42,ЛОЖКА,Одна столовая ложка целиком; другой ракурс. В контексте — ложка рядом с тарелкой.,word-42-main.png; word-42-alternate.png; word-42-context.png,1024x1024
word-43,ЛОДКА,"Небольшая лодка целиком, без мотора; другая лодка. В контексте — лодка на воде.",word-43-main.png; word-43-alternate.png; word-43-context.png,1024x1024
word-44,УХО,"Ухо крупно на фрагменте головы; другой ракурс. В контексте — профиль человека, ухо хорошо видно.",word-44-main.png; word-44-alternate.png; word-44-context.png,1024x1024
word-45,ПОЛ,Пол комнаты занимает основную часть кадра; другой материал пола. В контексте — ребёнок сидит на полу. Не поле.,word-45-main.png; word-45-alternate.png; word-45-context.png,1024x1024
word-46,РОСА,Капли росы на травинках крупно; роса на листе. В контексте — утренняя трава с росой. Без дождя.,word-46-main.png; word-46-alternate.png; word-46-context.png,1024x1024
