priority,id,target,main,alternate,visible_parts,related_answers,format,status
P0,picture-01,дом,"дом целиком, дверь и окна",другой простой дом,крыша; окно; дверь,домик; изба; избушка,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-02,кот,кот целиком,кот на коврике,хвост; лапы; усы,котик; кошка; котёнок,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-03,луна,"луна в ночном небе, без лица",круглая луна над горизонтом,кратер; пятна,месяц; похоже на сыр,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-04,рыба,рыба целиком,рыба в воде,плавник; хвост; чешуя,рыбка,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-05,сыр,кусок сыра на тарелке,сыр рядом с хлебом,дырочки; корочка,сырок,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-06,лиса,рыжая лиса целиком,лиса у леса,хвост; лапы; уши,лисичка,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-07,лимон,целый лимон,целый лимон рядом с долькой,кожура; лист,лимончик,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-08,банан,целый неочищенный банан,банан частично очищен,кожура; мякоть,бананчик; кожура,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-09,яблоко,яблоко целиком,яблоко на ветке,лист; черенок; кожура,яблочко,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-10,машина,легковой автомобиль целиком,автомобиль на дороге,колёса; окно; фары,авто; машинка,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-11,дерево,дерево с кроной и стволом,другое дерево на траве,ветки; листья; ствол,деревце,1024x1024 WebP/PNG,нужно создать и проверить
P0,picture-12,собака,собака целиком,собака у будки,лапы; хвост; уши,пёс; собачка; щенок,1024x1024 WebP/PNG,нужно создать и проверить
P1,word-01,мама,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-02,папа,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-03,муха,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-04,оса,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-05,сосна,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-06,усы,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-07,нос,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-08,сон,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-09,рама,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-10,рука,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-11,мак,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-12,лук,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-13,сок,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-14,рот,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-15,торт,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-16,крот,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-17,стол,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-18,кит,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-19,сани,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-20,нитки,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-21,пила,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,word-22,лапа,одно ясно узнаваемое значение,другой ракурс или контекст,указать после создания,составить после проверки,1024x1024 WebP/PNG,редакционный бриф
P1,scene-01,сюжет,"кот спит на коврике, ребёнок сидит рядом",крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
P1,scene-02,сюжет,ребёнок пускает бумажную лодку в таз,крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
P1,scene-03,сюжет,горшок с маленьким ростком у окна,крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
P1,scene-04,сюжет,кот у солнечного окна,крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
P1,scene-05,сюжет,капли на окне после дождя,крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
P1,scene-06,сюжет,ребёнок рассматривает книгу,крупный план главного действия,описать все детали,не оценивать по одному имени предмета,1600x900 WebP/PNG,редакционный бриф
